forward : x : 0.0836452 | y : 0.981627 | z : 0.171498
eye : x : 22 | y : 4 | z : 4
at : x : 22.0836 | y : 4.98163 | z : 4.1715
forward : x : 0.0836452 | y : 0.981627 | z : 0.171498
eye : x : 22 | y : 4 | z : 4
at : x : 22.0836 | y : 4.98163 | z : 4.1715
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.183996 | y : 0.777146 | z : 0.601822
eye : x : 22 | y : 4 | z : 4
at : x : 22.184 | y : 4.77715 | z : 4.60182
forward : x : 0.187933 | y : 0.766044 | z : 0.614701
eye : x : 22 | y : 4 | z : 4
at : x : 22.1879 | y : 4.76604 | z : 4.6147
forward : x : 0.191813 | y : 0.75471 | z : 0.627392
eye : x : 22 | y : 4 | z : 4
at : x : 22.1918 | y : 4.75471 | z : 4.62739
forward : x : 0.195635 | y : 0.743145 | z : 0.639893
eye : x : 22 | y : 4 | z : 4
at : x : 22.1956 | y : 4.74314 | z : 4.63989
forward : x : 0.199397 | y : 0.731354 | z : 0.652198
eye : x : 22 | y : 4 | z : 4
at : x : 22.1994 | y : 4.73135 | z : 4.6522
forward : x : 0.203099 | y : 0.71934 | z : 0.664305
eye : x : 22 | y : 4 | z : 4
at : x : 22.2031 | y : 4.71934 | z : 4.66431
forward : x : 0.210315 | y : 0.694658 | z : 0.687908
eye : x : 22 | y : 4 | z : 4
at : x : 22.2103 | y : 4.69466 | z : 4.68791
forward : x : 0.217275 | y : 0.669131 | z : 0.710673
eye : x : 22 | y : 4 | z : 4
at : x : 22.2173 | y : 4.66913 | z : 4.71067
forward : x : 0.22397 | y : 0.642787 | z : 0.732572
eye : x : 22 | y : 4 | z : 4
at : x : 22.224 | y : 4.64279 | z : 4.73257
forward : x : 0.230392 | y : 0.615661 | z : 0.753578
eye : x : 22 | y : 4 | z : 4
at : x : 22.2304 | y : 4.61566 | z : 4.75358
